insert Quadratic
chunk size, average elapsed time
1000, 3905.91, 9453.20
2000, 8444.00, 19132.88
4000, 18857.31, 41849.97
8000, 43189.41, 102639.77
16000, 91806.85, 229092.61
32000, 209760.38, 543337.38
64000, 395017.54, 1299731.36
128000, 820926.83, 3045825.64
256000, 1749876.95, 6772539.95
512000, 3884067.92, 15614763.79
1024000, 8046009.54, 39420308.50
2048000, 16947784.00, 106676875.33
4096000, 34851414.83, 267922282.83
8192000, 71456391.00, 596275098.00
16384000, 152261125.00, 1368218114.00
