insert Star
chunk size, average elapsed time
1000, 5187.47, 10191.33
2000, 13115.34, 26826.33
4000, 39714.95, 82878.65
8000, 122623.44, 234120.66
16000, 294365.64, 529082.08
32000, 628691.71, 1145192.80
64000, 1282434.55, 2376143.00
128000, 2587908.72, 5103471.72
256000, 5275723.90, 11224036.47
512000, 11056761.79, 24849667.98
1024000, 23342607.42, 53557470.17
2048000, 46511287.33, 114111556.92
4096000, 100547691.00, 265092367.00
8192000, 225839406.33, 678589551.33
16384000, 476379656.00, 1513108704.00
