point query Linear
chunk size, average elapsed time
24876977records have been loaded.
data have been inserted
chunk size, start_pos, end_pos 10000999
0, 999, 0, 3583
0, 999, 1, 2090
0, 999, 2, 1425
0, 999, 3, 1116
0, 999, 4, 2152
0, 999, 5, 160
0, 999, 6, 1299
0, 999, 7, 1375
0, 999, 8, 469
0, 999, 9, 1024
0, 999, 10, 516
0, 999, 11, 2277
0, 999, 12, 926
0, 999, 13, 779
0, 999, 14, 1228
0, 999, 15, 634
0, 999, 16, 3053
0, 999, 17, 990
0, 999, 18, 839
0, 999, 19, 419
0, 999, 20, 1109
0, 999, 21, 41
0, 999, 22, 137
0, 999, 23, 552
0, 999, 24, 1853
0, 999, 25, 1585
0, 999, 26, 1055
0, 999, 27, 249
0, 999, 28, 2043
0, 999, 29, 1583
0, 999, 30, 1072
0, 999, 31, 2034
0, 999, 32, 1198
0, 999, 33, 1385
0, 999, 34, 532
0, 999, 35, 874
0, 999, 36, 1521
0, 999, 37, 1522
0, 999, 38, 113
0, 999, 39, 1235
0, 999, 40, 831
0, 999, 41, 1959
0, 999, 42, 1501
0, 999, 43, 733
0, 999, 44, 1722
0, 999, 45, 1036
0, 999, 46, 552
0, 999, 47, 525
0, 999, 48, 98
0, 999, 49, 1345
0, 999, 50, 1282
0, 999, 51, 979
0, 999, 52, 864
0, 999, 53, 788
0, 999, 54, 1795
0, 999, 55, 873
0, 999, 56, 602
0, 999, 57, 1155
0, 999, 58, 840
0, 999, 59, 1048
0, 999, 60, 1398
0, 999, 61, 1061
0, 999, 62, 536
0, 999, 63, 1291
0, 999, 64, 515
0, 999, 65, 561
0, 999, 66, 592
0, 999, 67, 1271
0, 999, 68, 369
0, 999, 69, 409
0, 999, 70, 443
0, 999, 71, 2035
0, 999, 72, 107
0, 999, 73, 1228
0, 999, 74, 2013
0, 999, 75, 1632
0, 999, 76, 1571
0, 999, 77, 1335
0, 999, 78, 977
0, 999, 79, 626
0, 999, 80, 1378
0, 999, 81, 1222
0, 999, 82, 2341
0, 999, 83, 861
0, 999, 84, 626
0, 999, 85, 953
0, 999, 86, 933
0, 999, 87, 1467
0, 999, 88, 121
0, 999, 89, 3122
0, 999, 90, 543
0, 999, 91, 621
0, 999, 92, 1564
0, 999, 93, 1190
0, 999, 94, 1734
0, 999, 95, 710
0, 999, 96, 388
0, 999, 97, 1615
0, 999, 98, 68
0, 999, 99, 1035
0, 999, 100, 950
0, 999, 101, 1773
0, 999, 102, 3051
0, 999, 103, 1746
0, 999, 104, 1124
0, 999, 105, 1502
0, 999, 106, 2380
0, 999, 107, 278
0, 999, 108, 263
0, 999, 109, 296
0, 999, 110, 1426
0, 999, 111, 1516
0, 999, 112, 1138
0, 999, 113, 282
0, 999, 114, 1472
0, 999, 115, 1561
0, 999, 116, 1292
0, 999, 117, 1295
0, 999, 118, 91
0, 999, 119, 234
0, 999, 120, 1449
0, 999, 121, 1537
0, 999, 122, 1311
0, 999, 123, 229
0, 999, 124, 1394
0, 999, 125, 1594
0, 999, 126, 699
0, 999, 127, 1433
0, 999, 128, 1254
0, 999, 129, 1252
0, 999, 130, 2235
0, 999, 131, 1249
0, 999, 132, 488
0, 999, 133, 1450
0, 999, 134, 602
0, 999, 135, 1177
0, 999, 136, 955
0, 999, 137, 1614
0, 999, 138, 551
0, 999, 139, 122
0, 999, 140, 2585
0, 999, 141, 1305
0, 999, 142, 2472
0, 999, 143, 900
0, 999, 144, 309
0, 999, 145, 276
0, 999, 146, 1045
0, 999, 147, 1303
0, 999, 148, 1242
0, 999, 149, 358
0, 999, 150, 627
0, 999, 151, 576
0, 999, 152, 1133
0, 999, 153, 1203
0, 999, 154, 440
0, 999, 155, 746
0, 999, 156, 1586
0, 999, 157, 847
0, 999, 158, 368
0, 999, 159, 345
0, 999, 160, 950
0, 999, 161, 1251
0, 999, 162, 1773
0, 999, 163, 1382
0, 999, 164, 37
0, 999, 165, 1681
0, 999, 166, 1404
0, 999, 167, 866
0, 999, 168, 543
0, 999, 169, 1002
0, 999, 170, 301
0, 999, 171, 1595
0, 999, 172, 72
0, 999, 173, 1804
0, 999, 174, 1815
0, 999, 175, 538
0, 999, 176, 1116
0, 999, 177, 274
0, 999, 178, 358
0, 999, 179, 866
0, 999, 180, 452
0, 999, 181, 1227
0, 999, 182, 687
0, 999, 183, 1072
0, 999, 184, 2094
0, 999, 185, 615
0, 999, 186, 1436
0, 999, 187, 984
0, 999, 188, 1133
0, 999, 189, 968
0, 999, 190, 863
0, 999, 191, 1281
0, 999, 192, 1219
0, 999, 193, 730
0, 999, 194, 2072
0, 999, 195, 428
0, 999, 196, 1610
0, 999, 197, 960
0, 999, 198, 2828
0, 999, 199, 1173
0, 999, 200, 540
0, 999, 201, 725
0, 999, 202, 408
0, 999, 203, 695
0, 999, 204, 600
0, 999, 205, 1481
0, 999, 206, 1856
0, 999, 207, 1322
0, 999, 208, 1077
0, 999, 209, 1057
0, 999, 210, 1015
0, 999, 211, 3750
0, 999, 212, 664
0, 999, 213, 1610
0, 999, 214, 872
0, 999, 215, 1502
0, 999, 216, 761
0, 999, 217, 512
0, 999, 218, 1600
0, 999, 219, 910
0, 999, 220, 890
0, 999, 221, 980
0, 999, 222, 810
0, 999, 223, 1786
0, 999, 224, 491
0, 999, 225, 3852
0, 999, 226, 647
0, 999, 227, 2666
0, 999, 228, 367
0, 999, 229, 1917
0, 999, 230, 832
0, 999, 231, 1430
0, 999, 232, 446
0, 999, 233, 87
0, 999, 234, 1852
0, 999, 235, 1280
0, 999, 236, 48
0, 999, 237, 91
0, 999, 238, 1418
0, 999, 239, 3535
0, 999, 240, 519
0, 999, 241, 1044
0, 999, 242, 1812
0, 999, 243, 576
0, 999, 244, 1612
0, 999, 245, 1386
0, 999, 246, 158
0, 999, 247, 251
0, 999, 248, 813
0, 999, 249, 1096
0, 999, 250, 826
0, 999, 251, 1119
0, 999, 252, 1786
0, 999, 253, 1917
0, 999, 254, 264
0, 999, 255, 21
0, 999, 256, 924
0, 999, 257, 1734
0, 999, 258, 1279
0, 999, 259, 1364
0, 999, 260, 393
0, 999, 261, 1561
0, 999, 262, 130
0, 999, 263, 1540
0, 999, 264, 587
0, 999, 265, 159
0, 999, 266, 1440
0, 999, 267, 2112
0, 999, 268, 1033
0, 999, 269, 2800
0, 999, 270, 1217
0, 999, 271, 1177
0, 999, 272, 1967
0, 999, 273, 212
0, 999, 274, 69
0, 999, 275, 1304
0, 999, 276, 885
0, 999, 277, 774
0, 999, 278, 298
0, 999, 279, 2451
0, 999, 280, 1289
0, 999, 281, 969
0, 999, 282, 1718
0, 999, 283, 666
0, 999, 284, 1124
0, 999, 285, 2148
0, 999, 286, 928
0, 999, 287, 1311
0, 999, 288, 1656
0, 999, 289, 1738
0, 999, 290, 465
0, 999, 291, 581
0, 999, 292, 1154
0, 999, 293, 1461
0, 999, 294, 2200
0, 999, 295, 427
0, 999, 296, 3032
0, 999, 297, 2221
0, 999, 298, 1591
0, 999, 299, 2059
0, 999, 300, 1221
0, 999, 301, 1094
0, 999, 302, 1230
0, 999, 303, 1037
0, 999, 304, 438
0, 999, 305, 1158
0, 999, 306, 1057
0, 999, 307, 3819
0, 999, 308, 1502
0, 999, 309, 953
0, 999, 310, 582
0, 999, 311, 521
0, 999, 312, 790
0, 999, 313, 1655
0, 999, 314, 2871
0, 999, 315, 1003
0, 999, 316, 574
0, 999, 317, 779
0, 999, 318, 649
0, 999, 319, 980
0, 999, 320, 2068
0, 999, 321, 1284
0, 999, 322, 56
0, 999, 323, 436
0, 999, 324, 770
0, 999, 325, 1234
0, 999, 326, 999
0, 999, 327, 1365
0, 999, 328, 1130
0, 999, 329, 1321
0, 999, 330, 537
0, 999, 331, 1825
0, 999, 332, 411
0, 999, 333, 283
0, 999, 334, 1165
0, 999, 335, 376
0, 999, 336, 264
0, 999, 337, 686
0, 999, 338, 546
0, 999, 339, 3111
0, 999, 340, 1643
0, 999, 341, 2030
0, 999, 342, 534
0, 999, 343, 484
0, 999, 344, 685
0, 999, 345, 931
0, 999, 346, 1172
0, 999, 347, 1243
0, 999, 348, 1096
0, 999, 349, 558
0, 999, 350, 2643
0, 999, 351, 1857
0, 999, 352, 2705
0, 999, 353, 2171
0, 999, 354, 1788
0, 999, 355, 600
0, 999, 356, 1561
0, 999, 357, 669
0, 999, 358, 1879
0, 999, 359, 2263
0, 999, 360, 580
0, 999, 361, 160
0, 999, 362, 1057
0, 999, 363, 1323
0, 999, 364, 163
0, 999, 365, 1516
0, 999, 366, 1041
0, 999, 367, 1080
0, 999, 368, 392
0, 999, 369, 737
0, 999, 370, 2045
0, 999, 371, 744
0, 999, 372, 189
0, 999, 373, 1936
0, 999, 374, 1154
0, 999, 375, 2737
0, 999, 376, 593
0, 999, 377, 479
0, 999, 378, 1173
0, 999, 379, 80
0, 999, 380, 253
0, 999, 381, 934
0, 999, 382, 1041
0, 999, 383, 1664
0, 999, 384, 740
0, 999, 385, 1166
0, 999, 386, 1183
0, 999, 387, 2535
0, 999, 388, 2301
0, 999, 389, 2384
0, 999, 390, 1832
0, 999, 391, 1005
0, 999, 392, 2175
0, 999, 393, 2497
0, 999, 394, 1728
0, 999, 395, 1069
0, 999, 396, 2688
0, 999, 397, 1447
0, 999, 398, 316
0, 999, 399, 1073
0, 999, 400, 383
0, 999, 401, 206
0, 999, 402, 374
0, 999, 403, 2202
0, 999, 404, 2938
0, 999, 405, 1906
0, 999, 406, 99
0, 999, 407, 374
0, 999, 408, 1677
0, 999, 409, 1464
