range query Quadratic
longitude min, lattitude min, timestamp min, longitude min, lattitude min, timestamp min, query_size, found, elasped time
83.466830, 21.381940, 1201980644.00,88.593970, 24.638378, 1202033975.50,10, 0, 7
86.030400, 21.381940, 1201980644.00,91.157540, 24.638378, 1202033975.50,10, 0, 2
88.593970, 21.381940, 1201980644.00,93.721110, 24.638378, 1202033975.50,10, 0, 2
91.157540, 21.381940, 1201980644.00,96.284680, 24.638378, 1202033975.50,10, 0, 2
93.721110, 21.381940, 1201980644.00,98.848250, 24.638378, 1202033975.50,10, 0, 2
96.284680, 21.381940, 1201980644.00,101.411820, 24.638378, 1202033975.50,10, 0, 3
98.848250, 21.381940, 1201980644.00,103.975390, 24.638378, 1202033975.50,10, 0, 25
101.411820, 21.381940, 1201980644.00,106.538960, 24.638378, 1202033975.50,10, 0, 22
103.975390, 21.381940, 1201980644.00,109.102530, 24.638378, 1202033975.50,10, 33, 26
106.538960, 21.381940, 1201980644.00,111.666100, 24.638378, 1202033975.50,10, 47, 23
109.102530, 21.381940, 1201980644.00,114.229670, 24.638378, 1202033975.50,10, 14, 17
111.666100, 21.381940, 1201980644.00,116.793240, 24.638378, 1202033975.50,10, 6, 37
114.229670, 21.381940, 1201980644.00,119.356810, 24.638378, 1202033975.50,10, 6, 21
116.793240, 21.381940, 1201980644.00,121.920380, 24.638378, 1202033975.50,10, 0, 9
119.356810, 21.381940, 1201980644.00,124.483950, 24.638378, 1202033975.50,10, 0, 8
121.920380, 21.381940, 1201980644.00,127.047520, 24.638378, 1202033975.50,10, 1, 6
124.483950, 21.381940, 1201980644.00,129.611090, 24.638378, 1202033975.50,10, 1, 7
127.047520, 21.381940, 1201980644.00,132.174660, 24.638378, 1202033975.50,10, 0, 3
129.611090, 21.381940, 1201980644.00,134.738230, 24.638378, 1202033975.50,10, 0, 3
83.466830, 23.010159, 1201980644.00,88.593970, 26.266597, 1202033975.50,10, 0, 2
86.030400, 23.010159, 1201980644.00,91.157540, 26.266597, 1202033975.50,10, 0, 2
88.593970, 23.010159, 1201980644.00,93.721110, 26.266597, 1202033975.50,10, 0, 2
91.157540, 23.010159, 1201980644.00,96.284680, 26.266597, 1202033975.50,10, 0, 2
93.721110, 23.010159, 1201980644.00,98.848250, 26.266597, 1202033975.50,10, 0, 2
96.284680, 23.010159, 1201980644.00,101.411820, 26.266597, 1202033975.50,10, 0, 2
98.848250, 23.010159, 1201980644.00,103.975390, 26.266597, 1202033975.50,10, 0, 12
101.411820, 23.010159, 1201980644.00,106.538960, 26.266597, 1202033975.50,10, 0, 13
103.975390, 23.010159, 1201980644.00,109.102530, 26.266597, 1202033975.50,10, 41, 23
106.538960, 23.010159, 1201980644.00,111.666100, 26.266597, 1202033975.50,10, 61, 25
109.102530, 23.010159, 1201980644.00,114.229670, 26.266597, 1202033975.50,10, 20, 18
111.666100, 23.010159, 1201980644.00,116.793240, 26.266597, 1202033975.50,10, 6, 38
114.229670, 23.010159, 1201980644.00,119.356810, 26.266597, 1202033975.50,10, 6, 23
116.793240, 23.010159, 1201980644.00,121.920380, 26.266597, 1202033975.50,10, 0, 11
119.356810, 23.010159, 1201980644.00,124.483950, 26.266597, 1202033975.50,10, 0, 9
121.920380, 23.010159, 1201980644.00,127.047520, 26.266597, 1202033975.50,10, 0, 7
124.483950, 23.010159, 1201980644.00,129.611090, 26.266597, 1202033975.50,10, 0, 6
127.047520, 23.010159, 1201980644.00,132.174660, 26.266597, 1202033975.50,10, 0, 3
