insert Quadratic
chunk size, average elapsed time
1000, 4010.69, 8464.12
2000, 8718.56, 17007.11
4000, 19196.38, 36698.46
8000, 43512.98, 88819.27
16000, 100878.82, 203891.51
32000, 193930.13, 491789.71
64000, 404595.97, 1224546.46
128000, 848922.91, 2867161.82
256000, 1840181.88, 6621208.72
512000, 3915439.44, 15847817.50
1024000, 8324947.29, 40341624.41
2048000, 17309944.25, 107423001.12
4096000, 35592682.25, 250666154.00
8192000, 73710852.50, 598036153.00
16384000, 157962161.00, 1374328598.00
