insert Star
chunk size, average elapsed time
1000, 5417.07, 10652.84
2000, 14419.86, 27541.40
4000, 44978.65, 86475.43
8000, 136973.27, 277896.86
16000, 319439.97, 608920.23
32000, 687099.12, 1289364.09
64000, 1420770.60, 2652102.19
128000, 2845383.23, 5412658.27
256000, 5745675.29, 10957988.25
512000, 11746233.26, 23052983.44
1024000, 23726675.12, 46350837.71
2048000, 47793619.75, 90683597.62
4096000, 96352841.75, 179159955.00
8192000, 200943672.50, 364488751.50
16384000, 417571172.00, 824297263.00
